//**************Start***************
CenterX: -2|| CenterY: 9|| Mode: 45
17/6/2564 || 17:53:53|| AngleX: -2, AngleY: 9 
17/6/2564 || 17:53:54|| AngleX: -2, AngleY: 9 
17/6/2564 || 17:53:55|| AngleX: -2, AngleY: 9 
17/6/2564 || 17:53:56|| AngleX: -2, AngleY: 8 
17/6/2564 || 17:53:57|| AngleX: -2, AngleY: 9 
17/6/2564 || 17:53:58|| AngleX: -2, AngleY: 8 
17/6/2564 || 17:53:59|| AngleX: -2, AngleY: 8 
17/6/2564 || 17:54:0|| AngleX: -3, AngleY: 8 
17/6/2564 || 17:54:1|| AngleX: -4, AngleY: 8 
17/6/2564 || 17:54:2|| AngleX: -3, AngleY: 8 
17/6/2564 || 17:54:4|| AngleX: -3, AngleY: 7 
17/6/2564 || 17:54:5|| AngleX: -2, AngleY: 6 
17/6/2564 || 17:54:6|| AngleX: -3, AngleY: 5 
17/6/2564 || 17:54:7|| AngleX: -7, AngleY: 5 
17/6/2564 || 17:54:8|| AngleX: -8, AngleY: 8 
17/6/2564 || 17:54:9|| AngleX: 75, AngleY: -35 Warning
17/6/2564 || 17:54:11|| AngleX: 7, AngleY: 2 
17/6/2564 || 17:54:12|| AngleX: 13, AngleY: 7 
17/6/2564 || 17:54:13|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:14|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:15|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:54:16|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:17|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:19|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:20|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:54:21|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:22|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:23|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:24|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:25|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:27|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:28|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:29|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:30|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:31|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:32|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:33|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:35|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:36|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:37|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:38|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:39|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:40|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:41|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:43|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:44|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:45|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:46|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:54:47|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:48|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:50|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:51|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:52|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:53|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:54|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:55|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:56|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:58|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:54:59|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:0|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:1|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:55:2|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:3|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:4|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:6|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:7|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:55:8|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:9|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:10|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:11|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:13|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:14|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:15|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:16|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:55:17|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:18|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:19|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:21|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:22|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:23|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:24|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:25|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:26|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:27|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:29|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:30|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:31|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:32|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:33|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:34|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:36|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:37|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:38|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:39|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:40|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:55:41|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:42|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:44|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:45|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:46|| AngleX: -1, AngleY: 8 
17/6/2564 || 17:55:47|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:48|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:49|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:50|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:51|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:55:53|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:54|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:55|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:56|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:55:57|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:55:58|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:55:59|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:1|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:2|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:3|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:4|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:5|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:6|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:7|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:9|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:10|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:56:11|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:12|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:13|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:14|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:15|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:17|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:18|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:19|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:20|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:21|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:22|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:23|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:25|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:56:26|| AngleX: 0, AngleY: 8 
